      id_psu  c63
1  1203200219  Yes
2  1203200219  Yes
3  1203200296  Yes
4  1203200296   No
5  1203200341  Yes
6  1203200341  Yes
7  1203200382  Yes
8  1203200382  Yes
9  1204100027  Yes
10 1204100027  Yes
11 1204100112 <NA>
12 1204100112  Yes
13 1205100089 <NA>
14 1205100089   No
15 1205100129   No
16 1205100129   No
17 1206100017 <NA>
18 1206100017   No
19 1206100058 <NA>
20 1206100058   No
21 1206100112 <NA>
22 1206100112   No
23 1501100019  Yes
24 1501100019  Yes
